Date,Region,Energy_Consumption_MWh,Renewable_Energy_Production_MWh,CO2_Emissions_tonnes,Air_Quality_Index,Temperature_C,Wind_Speed_mps,Solar_Radiation_Wm2,Population
2034-10-09,Region_A,482.59,49.51,117.7,199,1.1,0.49,299.35,264325
2037-04-23,Region_B,90.75,274.79,195.15,324,39.7,3.22,885.49,265642
2039-03-23,Region_A,497.45,231.25,123.84,455,39.6,5.02,356.66,369331
2043-03-23,Region_C,469.94,199.62,74.92,74,31.6,13.13,708.1,179670
2044-12-25,Region_D,81.87,209.15,196.59,268,-7.3,7.54,10.57,496359
2036-10-08,Region_A,104.13,293.12,149.91,133,38.1,1.03,185.98,985632
2031-06-11,Region_A,257.1,105.86,140.15,303,24.0,7.51,38.86,712452
2047-01-05,Region_C,120.92,66.31,102.54,322,22.2,9.5,162.58,709564
2025-03-18,Region_D,235.13,88.84,119.24,449,8.2,3.81,159.41,493321
2029-03-16,Region_D,430.29,37.5,26.07,197,16.1,5.16,551.74,913109
2031-01-06,Region_B,216.47,220.28,62.83,141,21.1,0.8,277.61,998357
2025-08-22,Region_C,288.26,135.68,53.64,147,-6.3,7.5,123.08,215538
2035-09-01,Region_C,277.33,65.14,193.38,282,23.3,13.19,866.12,923783
2035-04-17,Region_B,348.45,250.11,133.65,361,16.2,2.76,364.54,663885
2032-12-16,Region_D,451.42,125.04,160.26,64,5.4,2.93,783.34,903074
2037-09-27,Region_B,156.88,59.41,99.44,447,16.6,12.1,270.92,615390
2047-06-17,Region_D,344.57,119.34,135.51,315,37.0,8.43,673.07,353433
2029-03-31,Region_D,434.15,22.27,164.66,263,17.8,12.24,167.13,135720
2032-03-04,Region_C,86.75,295.27,86.99,203,35.4,14.74,729.07,872190
2039-02-27,Region_D,147.66,182.55,32.36,268,8.0,7.58,383.7,21564
2030-06-18,Region_B,176.51,69.14,172.93,218,31.5,11.51,424.29,257289
2029-03-26,Region_D,491.2,171.12,28.54,220,11.5,9.26,141.76,363251
2026-06-27,Region_C,112.38,209.08,106.66,177,8.0,11.83,447.99,881148
2029-06-05,Region_D,389.42,30.58,179.54,167,-9.4,10.88,376.1,932600
2040-01-18,Region_C,296.03,79.49,29.14,390,38.7,1.0,495.1,910313
2049-05-08,Region_D,279.05,163.73,104.31,153,37.0,1.3,862.81,841771
2039-03-18,Region_A,270.31,72.97,90.05,39,-2.8,4.5,382.97,60975
2044-02-18,Region_B,361.22,181.49,140.24,400,23.2,5.68,979.23,482697
2038-11-15,Region_B,288.63,190.63,36.71,59,4.1,1.83,865.45,978635
2039-08-09,Region_A,456.32,224.96,52.3,289,-8.6,12.23,898.71,424480
2042-11-17,Region_A,334.5,81.9,154.84,148,24.2,10.58,787.04,159639
2048-01-20,Region_C,380.7,194.06,45.45,172,19.4,1.07,830.59,102747
2024-09-18,Region_C,354.42,163.97,106.29,295,23.3,12.57,637.4,850869
2034-04-10,Region_D,375.21,298.1,182.33,173,11.7,4.38,94.27,302304
2044-07-03,Region_C,136.39,241.38,115.35,358,-6.1,7.33,822.27,135141
2042-04-03,Region_B,183.15,130.58,142.95,134,30.2,8.96,676.7,992815
2034-06-18,Region_A,482.05,189.37,46.63,361,-1.6,10.72,104.67,43733
2024-09-29,Region_A,115.59,34.33,90.18,483,35.0,8.54,82.68,228916
2045-07-27,Region_A,198.78,49.42,175.71,372,-0.3,13.96,818.63,451377
